;;;;;;;;;;;;;;;;;;
Encuesta;Periodo;Indicadores;Nacional;Área;;Sexo;;;;;;;;;;;;
;;;Total;Urbana;Rural;Hombre;Mujer;;;;;;;;;;;
ENEMDU;dic-07;Población Total;13.682.302;9.066.209;4.616.093;6.768.646;6.913.656;;;;;;;;;;;
ENEMDU;dic-07;Población menor de 15 años;4.372.812;2.723.124;1.649.688;2.226.618;2.146.194;;;;;;;;;;;
ENEMDU;dic-07;Población en Edad de Trabajar (PET);9.309.490;6.343.085;2.966.404;4.542.028;4.767.462;;;;;;;;;;;
ENEMDU;dic-07;Población Económicamente Activa;6.336.029;4.227.702;2.108.328;3.777.232;2.558.798;;;;;;;;;;;
ENEMDU;dic-07;Empleo;6.019.332;3.971.040;2.048.292;3.632.314;2.387.018;;;;;;;;;;;
ENEMDU;dic-07;Empleo Adecuado/Pleno;2.737.158;2.236.440;500.719;1.907.451;829.707;;;;;;;;;;;
ENEMDU;dic-07;Subempleo;1.155.872;687.714;468.158;679.118;476.753;;;;;;;;;;;
ENEMDU;dic-07;Subempleo por insuficiencia de tiempo de trabajo;860.315;519.627;340.688;474.355;385.960;;;;;;;;;;;
ENEMDU;dic-07;Subempleo por insuficiencia de ingresos;295.556;168.087;127.470;204.763;90.793;;;;;;;;;;;
ENEMDU;dic-07;Empleo no remunerado;557.146;215.994;341.152;176.122;381.025;;;;;;;;;;;
ENEMDU;dic-07;Otro Empleo no pleno;1.504.000;785.461;718.539;830.341;673.659;;;;;;;;;;;
ENEMDU;dic-07;Empleo no clasificado;65.155;45.430;19.725;39.282;25.873;;;;;;;;;;;
ENEMDU;dic-07;Desempleo;316.697;256.662;60.036;144.918;171.780;;;;;;;;;;;
ENEMDU;dic-07;Desempleo Abierto;193.225;168.728;24.497;97.565;95.660;;;;;;;;;;;
ENEMDU;dic-07;Desempleo Oculto;123.472;87.934;35.539;47.353;76.119;;;;;;;;;;;
ENEMDU;dic-07;Desempleo Cesante;190.044;160.289;29.755;99.490;90.554;;;;;;;;;;;
ENEMDU;dic-07;Desempleo Nuevo;126.653;96.372;30.281;45.427;81.226;;;;;;;;;;;
ENEMDU;dic-07;Población Económicamente Inactiva;2.973.460;2.115.384;858.077;764.796;2.208.664;;;;;;;;;;;
ENEMDU;jun-08;Población Total;13.781.797;9.129.646;4.652.151;6.868.579;6.913.218;;;;;;;;;;;
ENEMDU;jun-08;Población menor de 15 años;4.268.148;2.655.282;1.612.866;2.189.753;2.078.395;;;;;;;;;;;
ENEMDU;jun-08;Población en Edad de Trabajar (PET);9.513.649;6.474.364;3.039.285;4.678.826;4.834.823;;;;;;;;;;;
ENEMDU;jun-08;Población Económicamente Activa;6.589.368;4.433.491;2.155.877;3.893.496;2.695.873;;;;;;;;;;;
ENEMDU;jun-08;Empleo;6.245.225;4.151.002;2.094.223;3.742.213;2.503.012;;;;;;;;;;;
ENEMDU;jun-08;Empleo Adecuado/Pleno;2.750.595;2.248.018;502.577;1.937.602;812.993;;;;;;;;;;;
ENEMDU;jun-08;Subempleo;1.130.699;696.949;433.750;665.939;464.760;;;;;;;;;;;
ENEMDU;jun-08;Subempleo por insuficiencia de tiempo de trabajo;846.132;527.132;319.001;457.856;388.276;;;;;;;;;;;
ENEMDU;jun-08;Subempleo por insuficiencia de ingresos;284.567;169.817;114.750;208.083;76.484;;;;;;;;;;;
ENEMDU;jun-08;Empleo no remunerado;614.172;257.629;356.542;204.623;409.548;;;;;;;;;;;
ENEMDU;jun-08;Otro Empleo no pleno;1.688.693;909.254;779.439;898.349;790.344;;;;;;;;;;;
ENEMDU;jun-08;Empleo no clasificado;61.065;39.152;21.914;35.699;25.366;;;;;;;;;;;
ENEMDU;jun-08;Desempleo;344.143;282.489;61.654;151.283;192.860;;;;;;;;;;;
ENEMDU;jun-08;Desempleo Abierto;243.614;217.324;26.290;123.250;120.364;;;;;;;;;;;
ENEMDU;jun-08;Desempleo Oculto;100.530;65.165;35.365;28.033;72.497;;;;;;;;;;;
ENEMDU;jun-08;Desempleo Cesante;238.031;207.834;30.198;113.592;124.440;;;;;;;;;;;
ENEMDU;jun-08;Desempleo Nuevo;106.112;74.655;31.457;37.691;68.421;;;;;;;;;;;
ENEMDU;jun-08;Población Económicamente Inactiva;2.924.281;2.040.873;883.408;785.331;2.138.950;;;;;;;;;;;
ENEMDU;dic-08;Población Total;13.878.704;9.202.348;4.676.355;6.831.453;7.047.250;;;;;;;;;;;
ENEMDU;dic-08;Población menor de 15 años;4.229.707;2.633.450;1.596.257;2.175.561;2.054.146;;;;;;;;;;;
ENEMDU;dic-08;Población en Edad de Trabajar (PET);9.648.996;6.568.898;3.080.098;4.655.892;4.993.104;;;;;;;;;;;
ENEMDU;dic-08;Población Económicamente Activa;6.385.421;4.329.308;2.056.113;3.800.531;2.584.890;;;;;;;;;;;
ENEMDU;dic-08;Empleo;6.005.395;4.012.298;1.993.097;3.635.236;2.370.159;;;;;;;;;;;
ENEMDU;dic-08;Empleo Adecuado/Pleno;2.858.659;2.339.288;519.370;1.991.157;867.502;;;;;;;;;;;
ENEMDU;dic-08;Subempleo;957.978;588.824;369.155;549.097;408.881;;;;;;;;;;;
ENEMDU;dic-08;Subempleo por insuficiencia de tiempo de trabajo;704.516;445.009;259.507;378.324;326.192;;;;;;;;;;;
ENEMDU;dic-08;Subempleo por insuficiencia de ingresos;253.462;143.815;109.648;170.773;82.689;;;;;;;;;;;
ENEMDU;dic-08;Empleo no remunerado;523.928;211.070;312.858;159.714;364.214;;;;;;;;;;;
ENEMDU;dic-08;Otro Empleo no pleno;1.649.349;859.126;790.223;923.415;725.935;;;;;;;;;;;
ENEMDU;dic-08;Empleo no clasificado;15.481;13.990;1.491;11.853;3.628;;;;;;;;;;;
ENEMDU;dic-08;Desempleo;380.026;317.011;63.015;165.296;214.730;;;;;;;;;;;
ENEMDU;dic-08;Desempleo Abierto;252.924;226.983;25.942;119.858;133.067;;;;;;;;;;;
ENEMDU;dic-08;Desempleo Oculto;127.102;90.028;37.074;45.438;81.664;;;;;;;;;;;
ENEMDU;dic-08;Desempleo Cesante;225.489;196.643;28.847;109.477;116.013;;;;;;;;;;;
ENEMDU;dic-08;Desempleo Nuevo;154.537;120.368;34.169;55.819;98.718;;;;;;;;;;;
ENEMDU;dic-08;Población Económicamente Inactiva;3.263.575;2.239.590;1.023.986;855.361;2.408.214;;;;;;;;;;;
ENEMDU;dic-09;Población Total;14.081.060;9.356.685;4.724.375;6.938.243;7.142.817;;;;;;;;;;;
ENEMDU;dic-09;Población menor de 15 años;4.048.344;2.548.051;1.500.293;2.071.224;1.977.120;;;;;;;;;;;
ENEMDU;dic-09;Población en Edad de Trabajar (PET);10.032.716;6.808.634;3.224.082;4.867.019;5.165.697;;;;;;;;;;;
ENEMDU;dic-09;Población Económicamente Activa;6.548.937;4.397.247;2.151.690;3.901.464;2.647.473;;;;;;;;;;;
ENEMDU;dic-09;Empleo;6.125.135;4.050.179;2.074.956;3.699.840;2.425.296;;;;;;;;;;;
ENEMDU;dic-09;Empleo Adecuado/Pleno;2.565.691;2.100.511;465.180;1.765.402;800.289;;;;;;;;;;;
ENEMDU;dic-09;Subempleo;1.071.615;664.855;406.760;636.204;435.411;;;;;;;;;;;
ENEMDU;dic-09;Subempleo por insuficiencia de tiempo de trabajo;764.486;479.299;285.187;419.036;345.450;;;;;;;;;;;
ENEMDU;dic-09;Subempleo por insuficiencia de ingresos;307.129;185.556;121.573;217.168;89.961;;;;;;;;;;;
ENEMDU;dic-09;Empleo no remunerado;582.204;213.115;369.089;191.833;390.371;;;;;;;;;;;
ENEMDU;dic-09;Otro Empleo no pleno;1.778.578;951.354;827.224;1.023.151;755.428;;;;;;;;;;;
ENEMDU;dic-09;Empleo no clasificado;127.047;120.344;6.703;83.250;43.797;;;;;;;;;;;
ENEMDU;dic-09;Desempleo;423.802;347.068;76.734;201.625;222.177;;;;;;;;;;;
ENEMDU;dic-09;Desempleo Abierto;294.590;265.013;29.576;143.825;150.765;;;;;;;;;;;
